Contaminant,Measure (ppb),Legal Limit / EPA limit (ppb)
Barium,7 ppb,"2,000 ppb"
Chlorate,133.3 ppb,210 ppb
Chromium (total),0.312 ppb,100 ppb
Fluoride,739 ppb,4000 ppb
Haloacetic acids,25.2 ppb,60 ppb
Strontium,149.6 ppb,"1,500 ppb"
TTHM,71.2 ppb,80 ppb
Perfluorooctanesulfonate Acid (PFOS),0.140 ppb,0.07 ppb
Perfluorobutanesulfonic Acid (PFBS) (ppt),0.09 ppb,
Perfluoroheptanoic Acid (PFHpA) (ppt),0.017 ppb,
Perfluorhexanesulfonic Acid [PFHxS] (ppt),0.07 ppb,
Perfluorononanoic Acid [PFNA] (ppt),0.02 ppb,
Perfluorooctanic Acid [PFOA] (ppt),0.02 ppb,0.07 ppb
